graph_seed,regime,k,rep_a,rep_b,jaccard_distance,fresh_score_gap,score_a,score_b,evaluation_set
42003,transition_dense,8,new_rep1,new_rep2,0.9333333333333332,0.0088646827886502,0.1200709654949605,0.1112062827063103,stage4f_fresh_6501_6524
42003,transition_dense,8,new_rep1,new_rep3,0.9333333333333332,0.0226959233793119,0.1200709654949605,0.1427668888742725,stage4f_fresh_6501_6524
42003,transition_dense,8,new_rep1,previous_rep0,1.0,0.0063403540601332,0.1200709654949605,0.1264113195550938,stage4f_fresh_6501_6524
42003,transition_dense,8,new_rep2,new_rep3,0.7692307692307692,0.0315606061679621,0.1112062827063103,0.1427668888742725,stage4f_fresh_6501_6524
42003,transition_dense,8,new_rep2,previous_rep0,1.0,0.0152050368487834,0.1112062827063103,0.1264113195550938,stage4f_fresh_6501_6524
42003,transition_dense,8,new_rep3,previous_rep0,1.0,0.0163555693191786,0.1427668888742725,0.1264113195550938,stage4f_fresh_6501_6524
42003,transition_dense,32,new_rep1,new_rep2,0.5116279069767442,0.039758063852787,0.4219996357957522,0.3822415719429652,stage4f_fresh_6501_6524
42003,transition_dense,32,new_rep1,new_rep3,0.4,0.1345412166168293,0.4219996357957522,0.2874584191789229,stage4f_fresh_6501_6524
42003,transition_dense,32,new_rep1,previous_rep0,0.5116279069767442,0.0264366107682387,0.4219996357957522,0.3955630250275135,stage4f_fresh_6501_6524
42003,transition_dense,32,new_rep2,new_rep3,0.5116279069767442,0.0947831527640423,0.3822415719429652,0.2874584191789229,stage4f_fresh_6501_6524
42003,transition_dense,32,new_rep2,previous_rep0,0.5454545454545454,0.0133214530845482,0.3822415719429652,0.3955630250275135,stage4f_fresh_6501_6524
42003,transition_dense,32,new_rep3,previous_rep0,0.4,0.1081046058485906,0.2874584191789229,0.3955630250275135,stage4f_fresh_6501_6524
