specimen_id,C_temporal_AB,C_temporal_BA,long_short_gain_AB,long_short_gain_BA,long_short_gain_mean
485468180,10,10,0.014835476875305176,-0.013037383556366078,0.000899046659469549
485570335,25,25,-0.003281533718109242,0.01789790391921997,0.007308185100555364
485570372,10,10,0.012798905372619629,-0.01919436454772938,-0.003197729587554876
485574721,10,10,-0.04313796758651722,0.013710260391235352,-0.014713853597640936
485574832,10,10,0.008552610874176025,-0.0008813142776489258,0.00383564829826355
485577686,10,10,0.013912856578826793,-0.013945400714874157,-1.627206802368164e-05
485578197,10,10,-0.0008263587951660156,0.0011655688285827637,0.00016960501670837402
485579168,10,10,0.0148804187774658,0.013483703136444,0.0141820609569549
485608017,10,10,0.01954895257949818,-0.019797563552856334,-0.00012430548667907715
485610263,10,10,0.002435624599456787,-0.012321412563323975,-0.004942893981933594
485835016,10,25,0.017314791679382435,-0.052102088928222545,-0.017393648624420055
485836906,10,10,-0.0157606601715088,-0.043204784393310595,-0.029482722282409696
485837504,10,10,-0.016946732997894176,-0.021083950996398704,-0.01901534199714644
485838981,25,10,-0.03879570960998524,0.011697351932525635,-0.013549178838729803
485880739,25,10,-0.022452235221862904,-0.016790270805358776,-0.01962125301361084
