subject,top_fraction,topset_auc_crossover
631570,0.4,0.0496943173821252
631570,0.05,0.0310961179488507
631570,0.1,0.0080621725160854
631570,0.2,0.0068365406281027
631570,0.4,-0.0189333790503034
631570,0.05,-0.0364194608809993
631570,0.1,0.0491071663379354
631570,0.2,-0.0092255095332017
631570,0.4,-0.0184214332675871
631570,0.05,-0.053724807428511
631570,0.1,-0.0096700281885467
631570,0.2,-0.0120747222599073
631570,0.4,-0.0250821537858575
631570,0.05,0.004161674296179
631570,0.1,-0.029219461938466
631570,0.2,-0.0050464034893833
631570,0.4,0.0480318679420694
633229,0.05,0.0536518259494567
633229,0.1,0.041080621073761
633229,0.2,0.0051529400912004
633229,0.4,0.0054021294687168
633229,0.05,-0.0204151442524815
633229,0.1,-0.0286424540429917
633229,0.2,0.0135153961287683
633229,0.4,-0.0030598700075845
633229,0.05,0.0346638541666666
633229,0.1,-0.0002677604166667
633229,0.2,-0.0180917708333332
633229,0.4,-0.0160179166666667
633229,0.05,-0.0002989991926591
633229,0.1,-0.0244980579513233
633229,0.2,0.0119867970226842
633229,0.4,0.0001658987082546
633229,0.05,-0.024091224419008
633229,0.1,0.0231277604347321
633229,0.2,0.0400565383281303
633229,0.4,-0.0326833159902879
633229,0.05,0.0053247635423561
633229,0.1,-0.0039987770522281
633229,0.2,-0.0298433729725817
633229,0.4,0.0073793027181073
633229,0.05,0.0137681380672401
633229,0.1,0.0052266444953955
633229,0.2,0.0321350763887313
633229,0.4,0.0081985413371876
633229,0.05,0.0203233506944444
633229,0.1,-0.0207879577020202
633229,0.2,-0.0425258443813131
633229,0.4,-0.0051136363636363
633229,0.05,-0.0103401004562554
633229,0.1,-0.0007558640531006
633229,0.2,0.0635284297668234
633229,0.4,0.0036539785356723
633229,0.05,0.0247610841983851
633229,0.1,0.0203862808010903
633229,0.2,-0.0088254356715949
633229,0.4,0.0289130711963929
633229,0.05,-0.0228487836949375
633229,0.1,-0.0465207100591715
633229,0.2,-0.0899414858645627
633229,0.4,-0.0059815910585141
633229,0.05,0.0257177012324179
633229,0.1,0.0147620020953229
633229,0.2,0.022503256245266
633229,0.4,-0.0161003808391203
637484,0.05,0.0517030950670496
637484,0.1,-0.0416928280651341
637484,0.2,0.0098690433429118
637484,0.4,-0.0008399036159003
637484,0.05,0.0097868070957334
637484,0.1,-0.0517780229277555
637484,0.2,-0.0287158133242049
637484,0.4,-0.0351439442681729
637484,0.05,-0.0470804702929557
637484,0.1,0.0091675367223502
637484,0.2,-0.0375063646930545
637484,0.4,-0.0113408543861094
637484,0.05,0.0046485597806305
637484,0.1,0.003157229003373
637484,0.2,-0.0064944854279405
637484,0.4,0.0169510907811399
637484,0.05,0.0033997370151217
637484,0.1,-0.0487468770545693
637484,0.2,-0.0009059829059827
637484,0.4,-0.0140407626561471
637484,0.05,-0.014555468243298
637484,0.1,0.0003239600102756
637484,0.2,-0.0276044667669453
637484,0.4,-0.0190740640651462
637484,0.05,-0.0088438367023384
637484,0.1,0.0292671422909234
637484,0.2,-0.0231351565596511
637484,0.4,-0.0150951248513674
637484,0.05,0.0004905541770057
637484,0.1,-0.0183196801764542
637484,0.2,-0.0087344141163495
637484,0.4,-0.0153211800385995
637484,0.05,0.097822420511456
637484,0.1,0.0146628081728095
637484,0.2,0.0882405369005344
637484,0.4,0.0049296272245373
637484,0.05,-0.0301657135307551
637484,0.1,0.0175241492554214
637484,0.2,-0.0027091142441916
637484,0.4,0.0234395372100485
637484,0.05,0.0363097236634076
637484,0.1,0.0060853242136498
637484,0.2,0.0777108813940733
637484,0.4,-0.026459117950528
637484,0.05,-0.0040175022521923
637484,0.1,-0.0425300445155213
637484,0.2,-0.0325868287193613
637484,0.4,-0.053211254201926
