graph_seed,graph_id,coupling,noise_sigma,A_mid,A_pool,A_shared,A_sparse,shared_random,spectral,shared_minus_random,shared_minus_frozen_mid,shared_minus_frozen_sparse,tested_specialists_max
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.03875,1.2,0.35672974058737356,0.35991536391278106,0.400794368237257,0.36489440811177093,0.13287044952933982,0.2905438343683878,0.2679239187079172,0.04406462764988345,0.035899960125486075,0.36489440811177093
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.0425,0.8,0.2651171485582987,0.359522004922231,0.3746038855363925,0.3446129572888215,0.12706759292632339,0.33053854356209433,0.24753629261006913,0.1094867369780938,0.02999092824757099,0.3446129572888215
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.0425,1.0,0.2792086222519477,0.3672352284193039,0.395458164314429,0.3428832218050957,0.1400771467015147,0.3793352662275235,0.2553810176129143,0.11624954206248128,0.05257494250933331,0.3428832218050957
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.0425,1.2,0.3020448796451091,0.369564335172375,0.37800391515096027,0.3561163706084092,0.12581160260985289,0.36008142059048015,0.2521923125411074,0.07595903550585115,0.02188754454255104,0.3561163706084092
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.04625,0.8,0.25342255334059394,0.3067888114601373,0.3520164427657922,0.3553569093346596,0.14962292431543267,0.38938339861730736,0.20239351845035952,0.09859388942519826,-0.003340466568867384,0.3553569093346596
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.04625,1.0,0.2568135463322202,0.33099549077451224,0.34570840063194436,0.38617495571573573,0.1430014943083127,0.3748417478054762,0.20270690632363167,0.08889485429972416,-0.04046655508379138,0.38617495571573573
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.04625,1.2,0.26003077284743387,0.34031595041354495,0.40434401482343674,0.46146606653928757,0.15205212216824288,0.3742980354775985,0.25229189265519386,0.14431324197600287,-0.05712205171585083,0.46146606653928757
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.05,0.8,0.24356233018139994,0.33153772726655,0.37685495677093667,0.3885274777809779,0.18863334506750104,0.3029395937919616,0.18822161170343563,0.13329262658953672,-0.011672521010041237,0.3885274777809779
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.05,1.0,0.2349854136506716,0.28629006010790664,0.3915988064060609,0.3037209101021289,0.18683477335919932,0.314531567816933,0.20476403304686155,0.15661339275538927,0.08787789630393195,0.3037209101021289
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.05,1.2,0.24259048576156295,0.36514566590388614,0.3663651005675395,0.3091667474557956,0.1768535010827084,0.32130584803720313,0.18951159948483112,0.12377461480597657,0.05719835311174393,0.3091667474557956
