phase,topology,N,regime,k,baseline,n_tasks,mean_gain,bootstrap95_low,bootstrap95_high,median_gain,positive_fraction,wilcoxon_greater_p,wilcoxon_greater_fdr_bh
stage4d_scaling,scale_free,128,transition_mid,32,spectral,2,0.14047241210937503,0.0007926821708679754,0.2801521420478821,0.14047241210937503,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,sparse_drive,16,spectral,2,0.1622516643255949,0.1271095499396324,0.1973937787115574,0.1622516643255949,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,sparse_drive,64,spectral,2,0.22816298156976705,0.15732717514038091,0.2989987879991532,0.22816298156976705,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,sparse_drive,128,spectral,2,0.257507860660553,0.2464225292205811,0.2685931921005249,0.257507860660553,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,transition_dense,16,spectral,2,0.0545185785740614,0.040916100144386305,0.0681210570037365,0.0545185785740614,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,transition_dense,64,spectral,2,0.06312699615955354,0.002396285533905085,0.123857706785202,0.06312699615955354,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,transition_dense,128,spectral,2,0.3873956799507141,0.35981577634811407,0.4149755835533142,0.3873956799507141,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,transition_mid,16,spectral,2,0.12564342468976977,0.0537051036953926,0.19758174568414694,0.12564342468976977,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,transition_mid,64,spectral,2,0.1153487116098404,0.0959343016147613,0.1347631216049195,0.1153487116098404,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,512,transition_mid,128,spectral,2,0.30936194956302643,0.25576895475387573,0.3629549443721772,0.30936194956302643,1.0,0.25,0.36818181818181817
stage4e_topology,modular,256,sparse_drive,8,spectral,3,0.2321115508675576,0.18074694275856026,0.2900363579392434,0.22555135190486908,1.0,0.125,0.36818181818181817
stage4e_topology,modular,256,sparse_drive,32,spectral,3,0.15812451889117565,0.13961411267519,0.18397185206413277,0.15078759193420418,1.0,0.125,0.36818181818181817
stage4e_topology,modular,256,sparse_drive,64,spectral,3,-0.04940503338972727,-0.2461363077163696,0.09499919414520258,0.002922013401985196,0.6666666666666666,0.625,0.7444852941176471
