variant,graph_seed,repeat,rhythm_score_mid_home_advantage,rhythm_score_sparse_home_advantage,rhythm_score_crossover_interaction,alternative_spectral_score_mid_home_advantage,alternative_spectral_score_sparse_home_advantage,alternative_spectral_score_crossover_interaction
primary,93001,18,0.07748059555888176,-0.015604884363710936,0.030937855597585412,0.12432701699435711,-0.04199826158583159,0.04116437770426276
primary,93001,19,0.15789290703833103,0.19245786685496571,0.17517538694664836,0.22193855419754982,0.2362432572990656,0.2290909057483077
primary,93002,0,0.01925983838737011,0.03188692592084408,0.025573382154107094,0.027644041925668716,0.038674602285027504,0.03315932210534811
primary,93002,1,-0.08167877607047558,0.0409335121512413,-0.020372631959617138,-0.11528819426894193,0.05674880929291248,-0.029269692488014726
primary,93002,2,0.16999841667711735,0.02335959672927862,0.09667900670319798,0.2497439086437226,0.016501134261488914,0.13312252145260572
primary,93002,3,0.19026665948331362,0.04733549058437342,0.11880107503384352,0.2610322665423155,0.0439609345048666,0.15249660052359104
primary,93002,4,-0.11902765929698947,0.14571620523929596,0.01334427297115326,-0.19243287481367588,0.20518283173441887,0.006374978460371494
primary,93002,5,0.05196261592209339,0.14162085205316544,0.09679173398762941,0.05435378849506378,0.18378746323287487,0.11907062586396933
primary,93002,6,0.004041161388158798,0.07818201556801796,0.04111158847808838,-0.007134074345231056,0.10736696235835552,0.05011644400656223
primary,93002,7,0.026459719985723495,0.17007604241371155,0.09826788119971752,0.02601753920316696,0.22251341491937637,0.12426547706127167
primary,93002,8,-0.007420282810926437,0.0012912135571241379,-0.0030645346269011497,-0.05134681239724159,0.013038961216807365,-0.019153925590217113
primary,93002,9,-0.010983323678374318,0.08855681680142885,0.03878674656152728,-0.012122901156544685,0.1124908216297627,0.05018396023660901
primary,93002,10,-0.07709075696766382,0.019526980817318018,-0.0287818880751729,-0.11647020280361176,0.022473981603980064,-0.046998110599815845
primary,93002,11,0.03113345429301262,0.0888757910579443,0.06000462267547846,0.03071761131286621,0.11232025735080242,0.07151893433183432
primary,93002,12,-0.0324492733925581,0.10211973823606971,0.034835232421755805,-0.07237178646028042,0.13236163929104805,0.029994926415383816
primary,93002,13,-0.013103326782584135,-0.11351885646581653,-0.06331109162420033,-0.0378192774951458,-0.12623343244194984,-0.08202635496854782
primary,93002,14,0.003889523446559906,-0.06488104537129397,-0.03049576096236703,-0.030525818467140198,-0.06393061578273773,-0.047228217124938965
primary,93002,15,0.02933995611965662,0.21781554631888866,0.12357775121927261,0.0388386994600296,0.2813940495252609,0.16011637449264526
primary,93002,16,-0.03852171450853353,0.16987446881830698,0.06567637715488672,-0.0625858567655086,0.22935987822711473,0.08338701073080304
primary,93002,17,0.006010530516505241,0.11776907742023474,0.06188980396836999,0.006930239498615265,0.15582978539168835,0.0813800124451518
primary,93002,18,-0.11848781816661358,-0.09276777692139154,-0.10562779754400256,-0.17591764777898788,-0.12212326005101204,-0.14902045391499996
primary,93002,19,0.050157429650425966,0.06308424845337868,0.056620839051902294,0.040945764631033,0.0945412665605545,0.06774351559579372
