graph_seed,graph_id,coupling,noise_sigma,method_label,rhythm_score,mean_rate_hz,dominant_frequency_hz,silent_fraction,synchrony_proxy,spectral_concentration,spectral_entropy,n_noise
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.2,A_shared,0.3132462762296199,21.644123713175457,69.5625,0.0,0.9208678156137466,0.617948674907287,0.3260673812280098,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.2,A_sparse,0.33589023165404797,21.81656821568807,69.625,0.0,0.9442670618494352,0.6402825601398945,0.30564176291227335,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.2,shared_random,0.22484510516126946,21.382568041483562,70.0,0.0,0.609509085615476,0.658505767583847,0.3813821201523145,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.2,spectral,0.3168463197847207,21.719807465871174,69.39583333333333,0.0,0.9896265591184298,0.608829915523529,0.32646429104109603,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,0.8,A_mid,0.4307919243971507,20.196938196818035,69.54166666666667,0.0,0.9374711761871973,0.751547617216905,0.23646284267306325,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,0.8,A_pool,0.28079330238203204,20.1968568166097,69.22916666666667,0.0,1.0019617949922879,0.5444896419843038,0.33787071394423646,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,0.8,A_shared,0.3312585062036911,20.190183639526367,69.39583333333333,0.0,0.9628604228297869,0.6268456255396208,0.30218616314232344,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,0.8,A_sparse,0.26337508670985693,20.1160462697347,69.14583333333333,0.0,0.9787360727787018,0.5340341366827488,0.35601319931447506,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,0.8,shared_random,0.2311920138696829,19.770994186401367,69.52083333333333,0.0,0.6309344172477722,0.6470887921750546,0.3744467881818612,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,0.8,spectral,0.3383851610124111,20.229246139526367,69.20833333333333,0.0,1.0324744060635567,0.6292988558610281,0.3157057544837395,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,1.0,A_mid,0.4000305055330197,20.2000306447347,69.54166666666667,0.0,0.9316537057360014,0.7204789482057095,0.25845311085383094,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,1.0,A_pool,0.26109698414802546,20.211423873901367,69.39583333333333,0.0,0.9753608405590057,0.5219657433529695,0.3447262266029914,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,1.0,A_shared,0.3885673936456442,20.2078431447347,69.41666666666667,0.0,0.9552618240316709,0.7030393866201242,0.2674633134156465,24
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.035,1.0,A_sparse,0.2357984197636445,20.140623092651367,69.22916666666667,0.0,0.9611577242612839,0.49641349787513417,0.36608192200462025,24
