subject,C,rho_cross
631570,0.25,0.1088016200646526
631570,1.0,0.1019915585561448
631570,4.0,0.0972495406251006
631570,0.25,0.1272933330337981
631570,1.0,0.1258201665945554
631570,4.0,0.1254411504368136
631570,0.25,0.0801064292552596
631570,1.0,0.0786263619653584
631570,4.0,0.077303369271045
631570,0.25,0.0875097462591412
631570,1.0,0.0793912901194406
631570,4.0,0.0745285849673095
633229,0.25,0.1346470280025556
633229,1.0,0.1358962590955657
633229,4.0,0.1365419481846099
633229,0.25,0.1183490368923633
633229,1.0,0.1154804734935678
633229,4.0,0.1129172872430567
633229,0.25,0.0885103081843184
633229,1.0,0.0910565684197506
633229,4.0,0.0932139241216752
633229,0.25,0.1408467502721422
633229,1.0,0.1379688817286002
633229,4.0,0.1360710744993653
633229,0.25,0.106349272232564
633229,1.0,0.1039414706371924
633229,4.0,0.1035096261640667
633229,0.25,0.1250466586746669
633229,1.0,0.1270694622679596
633229,4.0,0.1277922659376748
633229,0.25,0.1183219623214393
633229,1.0,0.1164395364471994
633229,4.0,0.1156975462099103
633229,0.25,0.122710108637417
633229,1.0,0.1233639112073113
633229,4.0,0.1242013996819538
633229,0.25,0.0822685527044194
633229,1.0,0.08195757174176
633229,4.0,0.0811332593292899
633229,0.25,0.151226473780121
633229,1.0,0.1510206919935741
633229,4.0,0.1512080623320341
633229,0.25,0.106105439529354
633229,1.0,0.1062010997914798
633229,4.0,0.1070328579243345
633229,0.25,0.0980246785513969
633229,1.0,0.0951556992918302
633229,4.0,0.0938925789506115
637484,0.25,0.1313249547793721
637484,1.0,0.129356781235433
637484,4.0,0.1276947513774615
637484,0.25,0.1211982232570181
637484,1.0,0.1276077513472069
637484,4.0,0.1310320529743775
637484,0.25,0.1013504208143675
637484,1.0,0.1030169461256151
637484,4.0,0.1029816877243625
637484,0.25,0.1128670356840288
637484,1.0,0.1144940979179775
637484,4.0,0.1167769308771926
637484,0.25,0.1322160871613604
637484,1.0,0.1338954004184275
637484,4.0,0.1365856677345749
637484,0.25,0.1181049589450093
637484,1.0,0.1144551450244011
637484,4.0,0.1122812887595495
637484,0.25,0.1213859909076479
637484,1.0,0.1234079896179084
637484,4.0,0.1250132076145114
637484,0.25,0.1080675642452873
637484,1.0,0.1136773985004961
637484,4.0,0.1171788589387319
637484,0.25,0.1046953297938468
637484,1.0,0.1062396314182665
637484,4.0,0.1063847233271602
637484,0.25,0.0971299201614765
637484,1.0,0.09900615132266
637484,4.0,0.1006013729196148
637484,0.25,0.0986217009263717
637484,1.0,0.1007374014636335
637484,4.0,0.1036660681353258
637484,0.25,0.1183665905920035
637484,1.0,0.1213574112952164
637484,4.0,0.1217131161123338
