subject,C,rho_within
619296,0.25,0.1535174854377279
619296,1.0,0.1452942637921971
619296,4.0,0.1405893949086473
619296,0.25,0.190522402657779
619296,1.0,0.1838100692709459
619296,4.0,0.1789794639015026
620333,0.25,0.008678032012818
620333,1.0,0.0109526965920041
620333,4.0,0.0127321005022717
620333,0.25,0.0569243455594457
620333,1.0,0.0564331401746753
620333,4.0,0.0542685053941622
620333,0.25,0.0991869858978154
620333,1.0,0.1027474248548547
620333,4.0,0.1046941776393076
620333,0.25,0.0577125321249991
620333,1.0,0.0586396540086142
620333,4.0,0.0600164601442366
620333,0.25,0.0729197182943861
620333,1.0,0.0724936552170766
620333,4.0,0.0735087525735404
620333,0.25,0.1043068514551409
620333,1.0,0.1034592221852436
620333,4.0,0.1017248761177152
620333,0.25,0.0939938326971637
620333,1.0,0.0863502382985368
620333,4.0,0.0816835836399339
620333,0.25,0.0591426838896294
620333,1.0,0.0535396255563658
620333,4.0,0.0504865983795397
620333,0.25,0.049118680720502
620333,1.0,0.0436992361723849
620333,4.0,0.0403327552175512
620333,0.25,0.0477941883744211
620333,1.0,0.0474506465233762
620333,4.0,0.0476819326143613
620333,0.25,0.0504627327171041
620333,1.0,0.0493815719195642
620333,4.0,0.0497540252581662
620333,0.25,0.0789540162605293
620333,1.0,0.0798918078924247
620333,4.0,0.0806618454961396
620334,0.25,0.1155624055787591
620334,1.0,0.1080331595491204
620334,4.0,0.1043251819111002
620334,0.25,0.0776161584667276
620334,1.0,0.0708172562016705
620334,4.0,0.0678346527854608
620334,0.25,0.1032319519851434
620334,1.0,0.0991684409743907
620334,4.0,0.0966983978584533
620334,0.25,0.1100279383578994
620334,1.0,0.112133843576244
620334,4.0,0.1123202367599989
620334,0.25,0.0759973443438772
620334,1.0,0.0676478801775437
620334,4.0,0.061782100842868
620334,0.25,0.0714075133825868
620334,1.0,0.0731516003873119
620334,4.0,0.0752503393111984
620334,0.25,0.1020066152498224
620334,1.0,0.1018321317939015
620334,4.0,0.1007706514917868
620334,0.25,0.0751404267612425
620334,1.0,0.0738640358760084
620334,4.0,0.0733509503872428
620334,0.25,0.1485252075469684
620334,1.0,0.1475827219458204
620334,4.0,0.1467432528132641
620334,0.25,0.1158598244428951
620334,1.0,0.1158700665650453
620334,4.0,0.1141456258975442
620334,0.25,0.1345498520204846
620334,1.0,0.1314148452179007
620334,4.0,0.126493038553752
620334,0.25,0.1239118072646397
620334,1.0,0.1199744142928582
620334,4.0,0.1178184190690841
625545,0.25,0.0607819865201446
625545,1.0,0.0634153575534064
625545,4.0,0.0648285381752536
625545,0.25,0.0611665486064507
625545,1.0,0.0621253261822982
625545,4.0,0.0640214242111611
625545,0.25,0.0853317894964803
625545,1.0,0.0875925296421796
625545,4.0,0.0895841307285051
625545,0.25,0.0733481555299866
625545,1.0,0.0766450782091863
625545,4.0,0.0783430242768131
625545,0.25,0.0714168178592015
625545,1.0,0.0700501147752207
625545,4.0,0.0696233111052297
625545,0.25,0.0796400980639593
625545,1.0,0.0822664638095546
625545,4.0,0.0850914390783972
625545,0.25,0.0613702598397388
625545,1.0,0.0607032670743659
625545,4.0,0.0597638341447954
625545,0.25,0.1023143947271166
625545,1.0,0.1038605612162282
625545,4.0,0.1036703159001042
625545,0.25,0.1082828652703604
625545,1.0,0.1113670942593442
625545,4.0,0.1132900250925162
625545,0.25,0.0828921884746533
625545,1.0,0.0860100166099949
625545,4.0,0.0870239249570412
625545,0.25,0.0997509759357179
625545,1.0,0.1012696019020352
625545,4.0,0.1018254126931904
625545,0.25,0.0991353474021321
625545,1.0,0.1008499571769355
625545,4.0,0.1021557228501685
625554,0.25,0.1342142479605054
625554,1.0,0.1318093713740457
625554,4.0,0.1300498437961495
625554,0.25,0.1268150082193738
625554,1.0,0.1269893872025779
625554,4.0,0.1270012507940923
625554,0.25,0.1151572247077477
625554,1.0,0.1154989583797178
625554,4.0,0.1163241057354913
625554,0.25,0.0784157274840973
625554,1.0,0.0799848903778151
625554,4.0,0.0815112832241952
