task_id,phase,topology,N,graph_seed,regime,connection_prob,coupling,k,budget_fraction,cycle_proxy,dynamics_aware,feedback_hub,high_degree,module_bridge,random,spectral,leverage_gain_vs_spectral,leverage_gain_vs_feedback_hub,leverage_gain_vs_high_degree,leverage_gain_vs_module_bridge,leverage_gain_vs_cycle_proxy,leverage_gain_vs_random,sel_total_degree,sel_feedback,sel_cycle3,sel_bridge,sel_spectral,coverage1,coverage2,out_neighbor_redundancy,selected_dispersion
6a9972c60961f3cdb1,stage4d_scaling,scale_free,512,44002,transition_dense,0.1,0.035,128,0.25,0.3901478946208954,0.7676588892936707,0.4078161120414734,0.4715323448181152,0.4715323448181152,0.4980581454001367,0.4078431129455566,0.35981577634811407,0.35984277725219727,0.2961265444755555,0.2961265444755555,0.37751099467277527,0.26960074389353395,104.0625,3556.484375,543.09375,0.0,0.0420748002083157,1.0,1.0,0.0621443935326387,1.7738681102362204
6bf024f11c7356f0ff,stage4b_replication,scale_free,256,42004,transition_mid,0.05,0.035,48,0.1875,0.5978896617889404,0.3657876253128052,0.6044272184371948,0.592748761177063,0.592748761177063,0.14303894271142775,0.4868659973144531,-0.12107837200164795,-0.23863959312438965,-0.2269611358642578,-0.2269611358642578,-0.23210203647613525,0.22274868260137742,48.208333333333336,711.8333333333334,66.66666666666667,0.0,0.1019823627218107,0.96484375,1.0,0.0633905981752351,1.6347517730496457
6c05de40984be049fa,stage4d_scaling,scale_free,128,44002,transition_mid,0.05,0.035,4,0.03125,0.0340672358870506,0.1008869856595993,0.0340672358870506,0.0340672358870506,0.0340672358870506,0.042189801170024965,0.0340672358870506,0.0668197497725487,0.0668197497725487,0.0668197497725487,0.0668197497725487,0.0668197497725487,0.05869718448957434,7.0,17.75,0.25,0.0,0.0362352612920942,0.15625,0.6015625,0.0166666666666666,2.5
6cb64cccdae1c02164,stage4c_atlas_extension,scale_free,256,42005,transition_mid,0.05,0.035,8,0.03125,0.0265717767179012,0.1792122423648834,0.0265717767179012,0.0265717767179012,0.0265717767179012,0.03990279376739631,0.0502284355461597,0.12898380681872368,0.1526404656469822,0.1526404656469822,0.1526404656469822,0.1526404656469822,0.1393094485974871,24.625,235.375,22.875,0.0,0.053117852380958,0.3046875,0.953125,0.0356237985413203,1.8928571428571428
6ff2f0c1cd558ff1d0,stage4b_replication,scale_free,256,42004,transition_mid,0.05,0.035,24,0.09375,0.1822756975889206,0.1991790384054184,0.2392140030860901,0.3820358514785766,0.3820358514785766,0.033418503066059146,0.3135671317577362,-0.11438809335231781,-0.04003496468067169,-0.1828568130731582,-0.1828568130731582,0.016903340816497803,0.16576053533935925,57.625,960.0,91.25,0.0,0.1237463822558302,0.8984375,1.0,0.0805391291584165,1.434782608695652
7032b041ec24bad5ca,stage4b_replication,scale_free,256,42002,transition_dense,0.1,0.035,8,0.03125,0.0509903281927108,0.109166532754898,0.0608355924487113,0.0608355924487113,0.0608355924487113,0.10139076295308765,0.0701529458165168,0.039013586938381195,0.048330940306186704,0.048330940306186704,0.048330940306186704,0.0581762045621872,0.007775769801810356,62.125,1335.75,203.75,0.0,0.0703051319845102,0.58203125,1.0,0.0833441408549495,1.7142857142857142
713069d90014ed6ddf,stage4e_topology,small_world,256,43003,transition_dense,0.1,0.035,64,0.25,0.2174387872219085,0.5853101015090942,0.3485906720161438,0.1919102072715759,0.1919102072715759,0.27173168072476983,0.164243459701538,0.42106664180755626,0.23671942949295044,0.3933998942375183,0.3933998942375183,0.3678713142871857,0.3135784207843244,52.203125,722.234375,163.65625,0.0,0.0625923615260887,1.0,1.0,0.0581503957141007,1.8060515873015872
724e548866f6d02472,stage4b_replication,scale_free,256,42004,transition_mid,0.05,0.035,8,0.03125,0.0446952804923057,0.1140491515398025,0.0382864102721214,0.0382864102721214,0.0382864102721214,0.05186809232691299,0.0521220788359642,0.06192707270383829,0.0757627412676811,0.0757627412676811,0.0757627412676811,0.0693538710474968,0.06218105921288951,20.625,132.625,9.0,0.0,0.0390456609995639,0.30859375,0.9765625,0.0156741863412031,2.0
725ef3e5a98adb4257,stage4b_replication,scale_free,256,42001,transition_dense,0.1,0.035,64,0.25,0.66880863904953,0.7236359119415283,0.6526728272438049,0.6526728272438049,0.6526728272438049,0.3539693942293525,0.5060338377952576,0.21760207414627075,0.07096308469772339,0.07096308469772339,0.07096308469772339,0.05482727289199829,0.36966651771217585,80.890625,1859.859375,275.3125,0.0,0.0912102171907229,0.99609375,1.0,0.1090325597533782,1.468253968253968
77ebb90184c7dcfcd5,stage4e_topology,modular,256,43002,sparse_drive,0.05,0.05,32,0.125,0.0716631263494491,0.2908027768135071,0.1079598143696785,0.0856529846787452,0.0871917307376861,0.09441309899557376,0.1400151848793029,0.15078759193420418,0.18284296244382858,0.20514979213476187,0.20361104607582098,0.21913965046405798,0.19638967781793332,25.90625,195.1875,19.71875,4.0625,0.0608134813918482,0.83984375,1.0,0.0260308027308523,2.2096774193548385
