coupling,noise_sigma,method_label,metric,n_graphs,mean,median,ci95_low,ci95_high,positive_graphs,negative_graphs,zero_graphs,interval_scope
0.03875,0.8,A_pool,synchrony_proxy,12,0.945405571618014,0.9439373115698497,0.9247997777433032,0.9657250049265308,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_pool,spectral_concentration,12,0.66771494390236,0.6561794908096393,0.6242242530272859,0.7105104766734358,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_pool,spectral_entropy,12,0.28968029101896614,0.29005860133717454,0.2677322737329329,0.3117116065398375,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_shared,rhythm_score,12,0.3466701785671628,0.3469912533958753,0.3261000976108739,0.36726488676116176,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_shared,mean_rate_hz,12,20.648632142278885,20.664630134900413,20.601173265609475,20.697094929052724,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_shared,dominant_frequency_hz,12,69.56597222222221,69.5625,69.51909722222223,69.61458333333333,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_shared,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_shared,synchrony_proxy,12,0.9148056509180201,0.9086258846024673,0.8954214951592602,0.9351401295357693,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_shared,spectral_concentration,12,0.6609898055903614,0.665436598782738,0.6320294492464099,0.6886821858300309,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_shared,spectral_entropy,12,0.2942944180427326,0.2955200265472133,0.2799691506428644,0.3091570903598848,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_sparse,rhythm_score,12,0.3422164011798385,0.33951969041178626,0.31699482276971036,0.3675887617961658,12,0,0,pointwise; descriptive; no cell-wise tests
