subject,C,delta_jaccard
631510,0.25,0.036843533593382
631510,1.0,0.0401026510552249
631510,4.0,0.040703082543539
631510,0.25,0.0080313395641181
631510,1.0,0.0290628936362941
631510,4.0,0.0255878371320477
631510,0.25,0.0439126043376006
631510,1.0,0.0340504621422267
631510,4.0,0.0301551743430915
631510,0.25,0.026294100222052
631510,1.0,0.0351365349609005
631510,4.0,0.0369504424756602
631510,0.25,0.0343983829213802
631510,1.0,0.0288607293782424
631510,4.0,0.0207444775931637
631510,0.25,0.0166004169809532
631510,1.0,0.0255125300924895
631510,4.0,0.0184888695428273
631570,0.25,-0.0233418033203432
631570,1.0,-0.0219192959779097
631570,4.0,-0.0284672298892795
631570,0.25,0.0270179339775935
631570,1.0,0.0267300319538418
631570,4.0,0.0371835090312425
631570,0.25,0.0358111109771213
631570,1.0,0.0132257691742878
631570,4.0,0.0198528547446002
631570,0.25,0.0098991132801349
631570,1.0,0.0282045986625372
631570,4.0,0.017975500753132
631570,0.25,0.0049444215055921
631570,1.0,-0.0017759262314616
631570,4.0,-0.0001702229013878
631570,0.25,0.0467729947498733
631570,1.0,0.0399569515692693
631570,4.0,0.031564901208981
631570,0.25,0.0397679001803222
631570,1.0,0.0409722615933774
631570,4.0,0.036045829643824
631570,0.25,0.0205440638919142
631570,1.0,0.0151331719128329
631570,4.0,0.0148783856859611
631570,0.25,-0.0280983015667758
631570,1.0,-0.0299814525925485
631570,4.0,-0.0367498187378045
631570,0.25,-0.0200415697794121
631570,1.0,-0.0293705014374572
631570,4.0,-0.0145619327656216
631570,0.25,0.0166135034556087
631570,1.0,0.0077232746656705
631570,4.0,0.0092431724889495
631570,0.25,0.069737790651077
631570,1.0,0.0634479874751054
631570,4.0,0.06802673315021
633229,0.25,0.022585458592437
633229,1.0,0.0227133671973163
633229,4.0,0.0182417759940917
633229,0.25,0.0124618111656188
633229,1.0,0.0098800410464309
633229,4.0,0.0089442864955856
633229,0.25,0.0057382158923171
633229,1.0,0.0110573534609133
633229,4.0,0.0152815298619656
633229,0.25,-9.094931219533198e-05
633229,1.0,0.0011280317554396
633229,4.0,-0.0034751218001404
633229,0.25,0.0198272943575036
633229,1.0,0.0186649555385357
633229,4.0,0.0231889050777455
633229,0.25,0.004480141129543
633229,1.0,0.0008120448064078
633229,4.0,0.0017014780018972
633229,0.25,0.0100790090024547
633229,1.0,0.0108088377453908
633229,4.0,0.0108764320134202
633229,0.25,0.0231080724873479
633229,1.0,0.021190539680473
633229,4.0,0.0185359050099354
633229,0.25,-0.0071915235131205
633229,1.0,-0.0151371012439533
633229,4.0,-0.0116585833482534
633229,0.25,-0.0201326068393988
633229,1.0,-0.0166125675730284
633229,4.0,-0.0136679422688942
633229,0.25,0.0101953223756221
633229,1.0,0.0020481313886198
633229,4.0,0.0055460168772862
633229,0.25,0.0436038039001512
633229,1.0,0.0461987572802881
633229,4.0,0.0424569487998747
637484,0.25,0.0089133059854213
637484,1.0,0.0076535346423305
637484,4.0,0.0062718521395687
637484,0.25,0.0034575254433795
637484,1.0,-0.0004301142484884
637484,4.0,0.0045714396156874
637484,0.25,-0.016109854945327
637484,1.0,-0.0123340434076884
637484,4.0,-0.0086780456194072
637484,0.25,0.0100623437677475
637484,1.0,0.0178856339268844
637484,4.0,0.011466807108633
637484,0.25,0.007709719818943
637484,1.0,0.0075973178429499
637484,4.0,0.015082552051755
637484,0.25,0.0140387998646753
637484,1.0,0.0078048080635971
637484,4.0,0.0167532928954495
637484,0.25,-0.0111550686810919
637484,1.0,-0.0014404322367663
637484,4.0,-0.0088423031512775
637484,0.25,-0.0002036685289777
637484,1.0,-0.0091868029331353
637484,4.0,-0.0079190135443465
637484,0.25,0.0128735403799144
637484,1.0,0.0213939399617149
637484,4.0,0.0187840711985153
637484,0.25,-0.0089597337353646
637484,1.0,-0.0038202623335097
637484,4.0,-0.0035315521751648
637484,0.25,0.013635818033842
637484,1.0,0.0063274765731087
637484,4.0,0.010182863029392
637484,0.25,0.0368723035626401
637484,1.0,0.0379611935571871
637484,4.0,0.0406883002438384
