graph,task,coupling,readout,method,score,normalized_score,mask_count
formal-05,delayed_recall,0.035,state_matched,unselected_random,0.8782643875926587,0.8782643875926587,8
formal-05,delayed_recall,0.035,cross_state_readout,unselected_random,-9.78562701807315,-9.78562701807315,8
formal-05,delayed_recall,0.05,state_matched,unselected_random,0.8931851607842982,0.8931851607842982,8
formal-05,delayed_recall,0.05,cross_state_readout,unselected_random,-5.174124999913434,-5.174124999913434,8
formal-05,delayed_recall,0.035,state_matched,group_matched_random,0.8974315204619138,0.8974315204619138,4
formal-05,delayed_recall,0.035,cross_state_readout,group_matched_random,-21.988128018397337,-21.988128018397337,4
formal-05,delayed_recall,0.05,state_matched,group_matched_random,0.9065270819638078,0.9065270819638078,4
formal-05,delayed_recall,0.05,cross_state_readout,group_matched_random,-0.589068205228352,-0.589068205228352,4
formal-06,delayed_recall,0.035,state_matched,random_search,0.9110740960788084,0.9110740960788084,1
formal-06,delayed_recall,0.035,cross_state_readout,random_search,-2.106182909496022,-2.106182909496022,1
formal-06,delayed_recall,0.05,state_matched,random_search,0.917525421905962,0.917525421905962,1
formal-06,delayed_recall,0.05,cross_state_readout,random_search,-18.396837130966528,-18.396837130966528,1
formal-06,delayed_recall,0.035,state_matched,local_search,0.8943060049334236,0.8943060049334236,1
formal-06,delayed_recall,0.035,cross_state_readout,local_search,-0.9948511468435755,-0.9948511468435755,1
formal-06,delayed_recall,0.05,state_matched,local_search,0.8968548697839622,0.8968548697839622,1
formal-06,delayed_recall,0.05,cross_state_readout,local_search,-6.642222794064779,-6.642222794064779,1
formal-06,delayed_recall,0.035,state_matched,population_search,0.9057114552918645,0.9057114552918645,1
formal-06,delayed_recall,0.035,cross_state_readout,population_search,-1.9226893742440319,-1.9226893742440319,1
formal-06,delayed_recall,0.05,state_matched,population_search,0.9040497767874065,0.9040497767874065,1
formal-06,delayed_recall,0.05,cross_state_readout,population_search,0.2448415843635201,0.2448415843635201,1
formal-06,delayed_recall,0.035,state_matched,specialist_pool_0.035,0.9053493566380307,0.9053493566380307,1
formal-06,delayed_recall,0.035,cross_state_readout,specialist_pool_0.035,-11.15115726510386,-11.15115726510386,1
formal-06,delayed_recall,0.05,state_matched,specialist_pool_0.035,0.9058181753811998,0.9058181753811998,1
formal-06,delayed_recall,0.05,cross_state_readout,specialist_pool_0.035,-6.052162494694582,-6.052162494694582,1
formal-06,delayed_recall,0.035,state_matched,specialist_pool_0.05,0.8841397424724108,0.8841397424724108,1
formal-06,delayed_recall,0.035,cross_state_readout,specialist_pool_0.05,-2.4370581094841253,-2.4370581094841253,1
formal-06,delayed_recall,0.05,state_matched,specialist_pool_0.05,0.9346978037302522,0.9346978037302522,1
formal-06,delayed_recall,0.05,cross_state_readout,specialist_pool_0.05,0.12820365413689183,0.12820365413689183,1
formal-06,delayed_recall,0.035,state_matched,high_degree,0.8965387313054958,0.8965387313054958,1
formal-06,delayed_recall,0.035,cross_state_readout,high_degree,-178.79210088871878,-178.79210088871878,1
formal-06,delayed_recall,0.05,state_matched,high_degree,0.8639838981319486,0.8639838981319486,1
formal-06,delayed_recall,0.05,cross_state_readout,high_degree,-3.520223535203934,-3.520223535203934,1
formal-06,delayed_recall,0.035,state_matched,spectral,0.8806588554277001,0.8806588554277001,1
formal-06,delayed_recall,0.035,cross_state_readout,spectral,-34.695818074097225,-34.695818074097225,1
formal-06,delayed_recall,0.05,state_matched,spectral,0.8920192694197028,0.8920192694197028,1
formal-06,delayed_recall,0.05,cross_state_readout,spectral,-7.853778937659152,-7.853778937659152,1
formal-06,delayed_recall,0.035,state_matched,input_energy_degree,0.9199813904945858,0.9199813904945858,1
formal-06,delayed_recall,0.035,cross_state_readout,input_energy_degree,-32.94870734247493,-32.94870734247493,1
formal-06,delayed_recall,0.05,state_matched,input_energy_degree,0.861469774411022,0.861469774411022,1
formal-06,delayed_recall,0.05,cross_state_readout,input_energy_degree,-5.091945689328987,-5.091945689328987,1
formal-06,delayed_recall,0.035,state_matched,input_quota_random,0.8866236761623243,0.8866236761623243,1
formal-06,delayed_recall,0.035,cross_state_readout,input_quota_random,-10.173489959353477,-10.173489959353477,1
formal-06,delayed_recall,0.05,state_matched,input_quota_random,0.9094194585674767,0.9094194585674767,1
formal-06,delayed_recall,0.05,cross_state_readout,input_quota_random,-5.012875461705673,-5.012875461705673,1
formal-06,delayed_recall,0.035,state_matched,unselected_random,0.8737386666182179,0.8737386666182179,8
formal-06,delayed_recall,0.035,cross_state_readout,unselected_random,-9.544690256508733,-9.544690256508733,8
formal-06,delayed_recall,0.05,state_matched,unselected_random,0.9044739870307311,0.9044739870307311,8
formal-06,delayed_recall,0.05,cross_state_readout,unselected_random,-2.8547277459846576,-2.8547277459846576,8
formal-06,delayed_recall,0.035,state_matched,group_matched_random,0.8878776241904955,0.8878776241904955,4
formal-06,delayed_recall,0.035,cross_state_readout,group_matched_random,-10.676043769925943,-10.676043769925943,4
formal-06,delayed_recall,0.05,state_matched,group_matched_random,0.9001321777505181,0.9001321777505181,4
formal-06,delayed_recall,0.05,cross_state_readout,group_matched_random,-2.42849951416544,-2.42849951416544,4
