subject,C,delta_rho
631570,0.25,0.0500262682340735
631570,1.0,0.0503462090373473
631570,4.0,0.0513450212328818
633229,0.25,0.0118384905620607
633229,1.0,0.008192448766012
633229,4.0,0.0050474713095678
633229,0.25,0.0616730781373935
633229,1.0,0.0558415505422106
633229,4.0,0.0519413845911005
633229,0.25,0.0446499381814636
633229,1.0,0.035762957159894
633229,4.0,0.0306164868243877
633229,0.25,-0.0012046566788296
633229,1.0,-0.0027953809050124
633229,4.0,-0.003706081571373
633229,0.25,0.0460066923200678
633229,1.0,0.0461788362882437
633229,4.0,0.0449481027358335
633229,0.25,-0.0228806977058939
633229,1.0,-0.0317851153570902
633229,4.0,-0.0364191625602458
633229,0.25,0.0247956163552807
633229,1.0,0.0281563559601468
633229,4.0,0.030326165565641
633229,0.25,-0.0232158013209533
633229,1.0,-0.0210626869705741
633229,4.0,-0.0191953441437427
633229,0.25,0.0692722406712316
633229,1.0,0.0689579196044182
633229,4.0,0.0696859512019686
633229,0.25,-0.0035302239280566
633229,1.0,-0.0010177917195638
633229,4.0,-0.0003428978876279
633229,0.25,0.052980713971889
633229,1.0,0.052928111115511
633229,4.0,0.0529938999323029
633229,0.25,0.0596706820121776
633229,1.0,0.061848288028027
633229,4.0,0.0616039950242994
637484,0.25,-0.0684661517842322
637484,1.0,-0.0596269362320616
637484,4.0,-0.0540708450032911
637484,0.25,-0.019186213217714
637484,1.0,-0.0228961558863098
637484,4.0,-0.0235188527181366
637484,0.25,-0.0249112530883105
637484,1.0,-0.0251602378343775
637484,4.0,-0.0229439911032713
637484,0.25,0.0421689443513832
637484,1.0,0.0403497378033007
637484,4.0,0.0379677622930427
637484,0.25,-0.0051368934946885
637484,1.0,-0.0083950485476422
637484,4.0,-0.0120242376590115
637484,0.25,-0.0336664299722411
637484,1.0,-0.025350179163935
637484,4.0,-0.0204689378346808
637484,0.25,-0.0399825768182586
637484,1.0,-0.0420054736007306
637484,4.0,-0.0448681751063306
637484,0.25,-0.0159552491729064
637484,1.0,-0.0184278766723905
637484,4.0,-0.0195661443635617
637484,0.25,0.0194407619189966
