variant,graph_seed,repeat,source_state,home_rhythm_score,foreign_rhythm_score,advantage_rhythm_score,home_alternative_spectral_score,foreign_alternative_spectral_score,advantage_alternative_spectral_score,home_mean_rate_hz,foreign_mean_rate_hz,advantage_mean_rate_hz,home_spectral_concentration,foreign_spectral_concentration,advantage_spectral_concentration,home_spectral_entropy,foreign_spectral_entropy,advantage_spectral_entropy,home_synchrony_proxy,foreign_synchrony_proxy,advantage_synchrony_proxy
primary,93011,0,transition_mid,0.27849991619586945,0.3049678970128298,-0.026467980816960335,0.36756348982453346,0.41667659766972065,-0.04911310784518719,20.456051111221313,21.88525009155273,-1.4291989803314173,0.5581154339015484,0.6127324178814888,-0.054616983979940414,0.34863339364528656,0.33269054256379604,0.015942851081490517,0.9880860820412636,0.9356062412261963,0.05247984081506729
primary,93011,0,sparse_drive,0.36527544632554054,0.3014142047613859,0.06386124156415462,0.4889475740492344,0.39604853838682175,0.09289903566241264,21.86254501342773,20.44433212280273,1.418212890625,0.6895550936460495,0.580188661813736,0.10936643183231354,0.29593028873205185,0.3320396915078163,-0.036109402775764465,0.968028835952282,0.9970872551202774,-0.029058419167995453
primary,93012,0,transition_mid,0.4044686183333397,0.2278310507535934,0.1766375675797463,0.5545998550951481,0.31604182720184326,0.23855802789330482,20.29418563842773,21.67235946655273,-1.378173828125,0.7368760146200657,0.5002238489687443,0.2366521656513214,0.2593574523925781,0.384845994412899,-0.1254885420203209,0.9252452105283737,0.9069966673851013,0.0182485431432724
primary,93012,0,sparse_drive,0.2208008430898189,0.31823582760989666,-0.09743498452007776,0.31126791052520275,0.44891091249883175,-0.137643001973629,21.616940021514893,20.251949548721313,1.364990472793579,0.4944763518869877,0.6391808837652206,-0.14470453187823296,0.37774184718728065,0.3093645852059126,0.06837726198136806,0.8873309567570686,0.8835286572575569,0.0038022994995117188
matched,93001,0,transition_mid,0.11003560665994877,0.05528027750551695,0.05475532915443182,0.3954161964356899,0.22308437526226038,0.17233182117342954,68.96312713623047,70.32689666748047,-1.36376953125,0.6050867661833763,0.4050884284079075,0.19999833777546883,0.34734371304512024,0.4509601816534996,-0.10361646860837936,0.285922035574913,0.2532924357801675,0.0326295997947455
matched,93001,0,sparse_drive,0.09154675900936123,0.0756574999541044,0.01588925905525683,0.3560359813272953,0.2515427973121404,0.1044931840151549,70.32665252685547,68.94823455810547,1.37841796875,0.5577713921666145,0.43291277438402176,0.12485861778259277,0.3625526614487171,0.421536348760128,-0.058983687311410904,0.2631221152842045,0.3103212080895901,-0.04719909280538559
matched,93002,0,transition_mid,0.10685596615076061,0.04344312567263836,0.06341284047812225,0.3606981560587883,0.16389309056103224,0.19680506549775606,68.94359588623047,70.35350799560547,-1.409912109375,0.5480561479926109,0.29787079617381096,0.2501853518188,0.34223222360014915,0.4510474428534508,-0.10881521925330162,0.3051895909011364,0.27132734283804893,0.03386224806308746
matched,93002,0,sparse_drive,0.08040932379662988,0.09571473207324739,-0.015305408276617513,0.295657929033041,0.3190327063202858,-0.023374777287244797,70.31664276123047,68.93334197998047,1.38330078125,0.49081359803676605,0.4977143667638302,-0.006900768727064133,0.39856670424342155,0.36014189198613167,0.038424812257289886,0.27879147231578827,0.30909697338938713,-0.03030550107359886
matched,93003,0,transition_mid,0.10218341089785093,0.10138219874352211,0.0008012121543288231,0.31615077145397663,0.34552001394331455,-0.02936924248933792,68.84716033935547,70.08885955810547,-1.24169921875,0.515508484095335,0.5524233020842075,-0.03691481798887253,0.38988618180155754,0.3805723413825035,0.009313840419054031,0.33444997295737267,0.3022872358560562,0.03216273710131645
matched,93003,0,sparse_drive,0.10704101063311092,0.09053052403032774,0.016510486602783175,0.35947857797145844,0.2743353247642517,0.08514325320720673,70.05565643310547,68.82152557373047,1.234130859375,0.5614112615585327,0.45972947031259537,0.10168179124593735,0.3613400533795357,0.40859928354620934,-0.04725923016667366,0.3071114234626293,0.342365562915802,-0.035254139453172684
