graph_seed,state,repeat_1,repeat_2,jaccard
93002,sparse_drive,8,18,0.45454545454545453
93002,sparse_drive,8,19,0.4883720930232558
93002,sparse_drive,9,10,0.4883720930232558
93002,sparse_drive,9,11,0.5238095238095238
93002,sparse_drive,9,12,0.5238095238095238
93002,sparse_drive,9,13,0.4883720930232558
93002,sparse_drive,9,14,0.45454545454545453
93002,sparse_drive,9,15,0.5238095238095238
93002,sparse_drive,9,16,0.5609756097560976
93002,sparse_drive,9,17,0.5238095238095238
93002,sparse_drive,9,18,0.5238095238095238
93002,sparse_drive,9,19,0.4883720930232558
93002,sparse_drive,10,11,0.5238095238095238
93002,sparse_drive,10,12,0.45454545454545453
93002,sparse_drive,10,13,0.5609756097560976
93002,sparse_drive,10,14,0.5238095238095238
93002,sparse_drive,10,15,0.5238095238095238
93002,sparse_drive,10,16,0.5609756097560976
93002,sparse_drive,10,17,0.5238095238095238
93002,sparse_drive,10,18,0.4222222222222222
93002,sparse_drive,10,19,0.5609756097560976
93002,sparse_drive,11,12,0.5238095238095238
93002,sparse_drive,11,13,0.5238095238095238
93002,sparse_drive,11,14,0.5609756097560976
93002,sparse_drive,11,15,0.5238095238095238
93002,sparse_drive,11,16,0.4883720930232558
93002,sparse_drive,11,17,0.6
93002,sparse_drive,11,18,0.4883720930232558
93002,sparse_drive,11,19,0.5609756097560976
93002,sparse_drive,12,13,0.45454545454545453
93002,sparse_drive,12,14,0.391304347826087
93002,sparse_drive,12,15,0.5238095238095238
93002,sparse_drive,12,16,0.45454545454545453
93002,sparse_drive,12,17,0.5238095238095238
93002,sparse_drive,12,18,0.45454545454545453
93002,sparse_drive,12,19,0.4883720930232558
93002,sparse_drive,13,14,0.4883720930232558
93002,sparse_drive,13,15,0.4883720930232558
93002,sparse_drive,13,16,0.5238095238095238
93002,sparse_drive,13,17,0.5238095238095238
93002,sparse_drive,13,18,0.45454545454545453
93002,sparse_drive,13,19,0.5238095238095238
93002,sparse_drive,14,15,0.4883720930232558
93002,sparse_drive,14,16,0.4883720930232558
93002,sparse_drive,14,17,0.5238095238095238
93002,sparse_drive,14,18,0.4222222222222222
93002,sparse_drive,14,19,0.45454545454545453
93002,sparse_drive,15,16,0.45454545454545453
93002,sparse_drive,15,17,0.4883720930232558
93002,sparse_drive,15,18,0.4222222222222222
93002,sparse_drive,15,19,0.5238095238095238
93002,sparse_drive,16,17,0.4883720930232558
93002,sparse_drive,16,18,0.4883720930232558
93002,sparse_drive,16,19,0.45454545454545453
93002,sparse_drive,17,18,0.5238095238095238
93002,sparse_drive,17,19,0.6
93002,sparse_drive,18,19,0.4883720930232558
93002,transition_mid,0,1,0.7777777777777778
93002,transition_mid,0,2,0.6
93002,transition_mid,0,3,0.5609756097560976
93002,transition_mid,0,4,0.7777777777777778
93002,transition_mid,0,5,0.7297297297297297
93002,transition_mid,0,6,0.6842105263157895
93002,transition_mid,0,7,0.6842105263157895
93002,transition_mid,0,8,0.6842105263157895
93002,transition_mid,0,9,0.7297297297297297
93002,transition_mid,0,10,0.6842105263157895
93002,transition_mid,0,11,0.6
93002,transition_mid,0,12,0.6410256410256411
93002,transition_mid,0,13,0.6842105263157895
93002,transition_mid,0,14,0.6842105263157895
93002,transition_mid,0,15,0.6
93002,transition_mid,0,16,0.7297297297297297
93002,transition_mid,0,17,0.6410256410256411
93002,transition_mid,0,18,0.7297297297297297
93002,transition_mid,0,19,0.6842105263157895
93002,transition_mid,1,2,0.5609756097560976
93002,transition_mid,1,3,0.5609756097560976
93002,transition_mid,1,4,0.7777777777777778
93002,transition_mid,1,5,0.6842105263157895
93002,transition_mid,1,6,0.6842105263157895
93002,transition_mid,1,7,0.6410256410256411
93002,transition_mid,1,8,0.6842105263157895
93002,transition_mid,1,9,0.6
93002,transition_mid,1,10,0.7297297297297297
93002,transition_mid,1,11,0.6
93002,transition_mid,1,12,0.6842105263157895
93002,transition_mid,1,13,0.6842105263157895
93002,transition_mid,1,14,0.6842105263157895
93002,transition_mid,1,15,0.6
93002,transition_mid,1,16,0.7297297297297297
93002,transition_mid,1,17,0.6410256410256411
93002,transition_mid,1,18,0.7297297297297297
93002,transition_mid,1,19,0.6842105263157895
93002,transition_mid,2,3,0.4883720930232558
93002,transition_mid,2,4,0.6410256410256411
93002,transition_mid,2,5,0.5238095238095238
93002,transition_mid,2,6,0.5238095238095238
93002,transition_mid,2,7,0.6
93002,transition_mid,2,8,0.5609756097560976
93002,transition_mid,2,9,0.5238095238095238
93002,transition_mid,2,10,0.5609756097560976
93002,transition_mid,2,11,0.5238095238095238
93002,transition_mid,2,12,0.5238095238095238
93002,transition_mid,2,13,0.5238095238095238
93002,transition_mid,2,14,0.5609756097560976
93002,transition_mid,2,15,0.5609756097560976
93002,transition_mid,2,16,0.5238095238095238
93002,transition_mid,2,17,0.4883720930232558
93002,transition_mid,2,18,0.5609756097560976
93002,transition_mid,2,19,0.6410256410256411
93002,transition_mid,3,4,0.6842105263157895
93002,transition_mid,3,5,0.5238095238095238
93002,transition_mid,3,6,0.5238095238095238
93002,transition_mid,3,7,0.6
93002,transition_mid,3,8,0.7297297297297297
93002,transition_mid,3,9,0.5238095238095238
